,Unnamed: 0,data,label,Unnamed: 0.1
32,32,Thất vọng mua đồng hồ Nhật mà nhận đồng hồ china,1,
33,33,"Mau ma va mau sac y hinh,,,binh thuong minh mang size 35. Cho tat ca cac loai giay dep deu vua khit hoac hoi chat nhung 2 doi ni cung size 35 nhung hoi rong khoang 1 size,,,nhung ko sao ,,co the vi phom giay ni no rong voi lai chat lieu vai  no mong va min nen  hoi rong,,,like it😘😍😊


 ",1,
34,34,Hàng mới nhận mở ra xem thì trầy xước hết rồi shop ơi. Cái này giống hàng trưng bày hay sao á. Vali mới mà trầy hết trơn à. ,0,
35,35,Ăn cảm giác như mực để lâukhô cứng và dai,0,
36,36, Đóng gói sản phẩm rất kém chỉ bọc giấy chuẩn bị hàng quá lâu,0,
37,37, Chất lượng sản phẩm tuyệt vời . Rất đáng tiền mua,1,
38,38, Chất lượng sản phẩm tuyệt vời  giao hàng 4h  gói hàng cực kỳ chắc chắn  chống sốc mấy lớp liền  hàng digiworld phân phối  giao đúng loại  trả lời tin nhắn cũng nhanh nữa . Best shop cmnr,1,
39,39,Màu đẹp mà giá lại ok nữa ;) rất thích ,1,
40,40,Nói là sự phòng 20.000mah mà sạc đc có 5% pin là dừng r ,0,
41,41,Son mau đẹp,1,
42,42,Chất lượng giấy tốt in màu đẹp phần trình bày cũng rõ ràng giải thích dễ hiểu có cả phần bài tập ứng dụng tuy nhiên phần chữ tiếng Việt rất nhiều và mật độ chữ dày đặc thật dễ bị hoa mắt mà -_-,0,
43,43,Chất lượng bình thường vải ko đẹp lắm,0,
44,44,Sản phẩm đẹp. Đóng gói chắc chắn. Nhưng k có pin dự phòng.,1,
45,45,Mua 3 mà giao 2,0,
46,46,Ok. Giầy đẹp như hình. tks,1,
47,47,Son đẹp check code ok ,1,
48,48, Thời gian giao hàng rất chậm Shop phục vụ rất kém Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém. Đặt hàng màu bạc mà lúc nhận được lại là màu vàng chát hỏi lại shop thì lại không thấy phản hồi gì cả gọi điện cũng không nghe. Rất thất vọng về sản phẩm cũng như thái độ phục vụ của shop,0,
49,49, Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời,1,
50,50,"Giá 1,29 triệu đồng là quá đắc, vì chỉ dùng được một thời gian ngắn, Tiền nào của đó",0,
51,51, Đóng gói sản phẩm rất đẹp và chắc chắn. Sản phẩm không giống hình shop đăng. ,0,
52,52,Bên shop thông báo cho mình hết phấn gấu xong chuyển sang phấn vịt sau shop cũng thông báo hêt phấn vịt chuyển sang phấn của 3ce. Chất lượng phấn không tốt lắm nói kiềm dầu nhưng hầu như kiềm dầu chỉ được tầm 30p là thấy da mặt đầy dầu. Lỗ của hộp phấn bên trong quá bé nên lượng phấn lấy ra ko nhiều rất mất thời gian. phải dùng cọ phấn phủ.,0,
53,53, Chất lượng sản phẩm rất rất rất Kém  Rất không đáng tiền. Khăn aden mà giặt rồi mà vẫn cứng đơ rát xì xì nhăn nhúm gập 40 cái mất nửa tiếng. Mua 40 cái mà bỏ ko dùng đc cái nào. Lau cho con thì đỏ cả da. Lsau ko bao h dám mua đồ của shop,0,
54,54,Mua 20 miếng mask nhiều loại khác nhau nhưng không bị gói nhầm hàng như những shop khác. Làm việc có tâm ạ. Đã mua nhiều lần và lần nào cũng ưng ý,1,
55,55,Ốp đẹp lắm ạ cơ mà bị nhầm của e 1 hình ,1,
56,56," Thời gian giao hàng rất nhanh
Chất lượng sản phẩm Ok!
Chủ shop nhiệt tình, thân thiện!
Sẽ ủng hộ shop tiếp!",1,
57,57,Dầu đặm đặc ghê shop ạ.lúc trc e có mua của shop khác màu nhạt lắn lun,1,
58,58,"Giao hàng nhanh, đặt hàng sau 2 hôm là tới nơi rất ưng cách phục vụ nhanh chóng của shop
Chất lượng sản phẩm chưa dùng nên chưa biết",1,
59,59,Mặt tiếp xúc với tóc ko chống dính tốt ko trơn. Máy nóng kém,0,
60,60,Giầy đẹp lắm  shop vui vẻ tư vấn nhiệt tình  Rất đáng tiền Thời gian giao hàng rất nhanh Shop phục vụ rất tốt sẽ ủng hộ shop vì giá đẹp giầy đẹp 😍,1,
61,61," Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.
Khá là ưng ☺️",1,
62,62, Chất lượng sản phẩm tuyệt vời dây xanh đậm so với hình ảnh chụp,1,
63,63,"Combo đúng nhiều luôn ._.
Đẹp lắm shop 💕",1,
64,64, Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn,1,
65,65,Rất tệ máy chạy không nổi yếu xìu xài không ngon,0,
66,66,Shop giao hàng nhanh đóng gói đẹp hàng thì cực cute lun. Rất đáng tiền,1,
67,67,Sp tốt hàng vận chuyển hộp bị móp :),1,
68,68,Đay la lan thu 2 mua hang that su rat hai long!!!se ung ho shop dai dai,1,
69,69,"

Sản phẩm sử dụng được 1 ngày là khác liền, sữa về rất ổn shop à, khi nào dùng hết sẽ tiếp tục đặt hàng của shop 😘

Shop tư vấn rất tận tình, mình rất thik.

 Sẽ tiếp tục ủng hộ shop dài dài.
 
",1,
70,70,Shop bán hàng k có tâm. Lưỡi dao gỉ vẫn giao cho khách.,0,
71,71," Thời gian giao hàng rất nhanh
  Sổ đẹp ",1,
72,72,bỉm chật bé nhà mình 7kg đã thấy chật rồi ạ ko dùng đc cho bé 12kg nhé,0,
73,73,"Ngon, về Việt Nam quất luôn 1 em 13,3 inch",1,
74,74,Sp k còn mới đã bị gỡ miếng giấy dính với tấm nhựa,0,
75,75,mình mua hồi tháng 6 vừa rồi đang sạc iphone được 30% thì không sạc được nữa. Mình cần hỗ trợ về bảo hành.,0,
76,76,Nhầm sản  phẩm,0,
77,77, Chất lượng sản phẩm rất kém  vỏ son méo ? son thì lỗi đầu son như dùng rồi  chất son loãng như nước  k đặc . để 30p trên môi ko khô  quệt 1 phát là bay màu. ,0,
78,78,Quá dỏm như nước  xài mà thấy da tay vẫn khô không có dưỡng ẩm!,0,
79,79,kg giong hang gi het,0,
80,80,Sản phẩm đáng yêu...shop còn tặng quà khi mua số lượng nhiều nữa... ,1,
81,81,mỏng- ko biết điu con đi xa nó có bục ko,1,
82,82," Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh
Bột thơm mịn ngon. Mong là giảm cân như quảng cáo",1,
83,83,Ko ổn lắm,0,
84,84,Tặng đồ xài ko dc,0,
85,85, Thời gian giao hàng rất nhanh gói quà hơi sơ xài nha shop :((( nhưng sản phẩm thì ok ,1,
86,86,hàng quá kém,0,
87,87,Nhan san pham khong dung voi mo ta,0,
88,88,Shop mall mà làm ăn tào lao ghi lốc 6 chai mà khi giao hàng thì giao 6 chai rời,0,
89,89, Chất lượng sản phẩm tuyệt vời bánh rất ngonmà cái hộp đóng gói nhận nhìn ko cảm tình xíu nào luôn á,1,
90,90," Đóng gói sản phẩm rất đẹp và chắc chắn
Mình k thấy tác dụng lắm sau 2 tuần sử dụng ",1,
91,91,So với giá tiền thì chất lượng như vậy là ổn. Tuy nhiên chắc tại shop bán mấy cái phụ kiện điện thoại bé nên hay nhầm lẫn quên hay sao ấy thiếu mất của em 1 cái que chọc sim rồi 😭😭,1,
92,92, Chất lượng sản phẩm tuyệt vời. Máy dùng thích lắm.  Shop phục vụ rất tốt. Đáng tiền. Cảm ơn và ủng hộ shop,1,
93,93, Thời gian giao hàng rất nhanh sáng đặt trưa giao. ,1,
94,94,"Giay ok lam cac ban 
",1,
95,95,hàng chất lượng shop rất uy tín,1,
96,96,Nhìn chung thì tạm được thôi mình mua 4 cái nhưng trong đó có 1 cái ko lên đèn nhờ shop nghiên cứu lại,1,
97,97,Túi nhỏ không vừa kích cỡ thảm. Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn,0,
98,98,Rất không đáng tiền kich bao hanh từ tháng 12/ 2017,0,
99,99,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt,1,
100,100,MÌnh không thích cuốn này lắm nó cứ nhàm chán kiểu gì ý cứ như rất gượng ép nam chính như kiểu hời hợt tình yêu này cứ loằng ngoằng luẩn quẩn dễ đến dễ hiểu làm vô cớ dễ giận nhau các tình tiết không chặt chẽ không thuyết phục cách viết rất non tay. Nói thẳng ra là nhảm nhí tệ nhất trong những cuốn của DLVT mà mình đã đọc. Cái tựa động phòng hoa chúc cách vách nó cứ kiểu gì ý. Được cái bìa khá đẹp và sách mỏng rất gọn. Nhưng giá cũng hơi chát.,0,
101,101,Không giữ đá lâu như sản phẩm của zebra.Thất vọng về lock,0,
102,102," Chất lượng sản phẩm tuyệt vời
Trên cả tuyệt vời",1,
103,103,Sản phẩm rất tốt giá cả hợp lí.Sạc đầy đt 3300mah đc 8 lần .thực sự rất hài lòng.  shop tư vấn và giải đáp rất nhiệt tình. Cho 10sao luôn😁,1,
104,104,Ấm thi bị hư k vô điên gửi đổi thì bất mình chiệu phí khăn thì chắc liệu loại 2 giao hang chậm,0,
105,105, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. E trang trí  thêm. Hihi,1,
106,106,Giày rất đẹp nhìn rất xịn hihi,1,
107,107,Cushion xài cực mê. Shop gói hàng cẩn thận. Dùng hết sẽ ủng hộ tiếp <3,1,
108,108," Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt
Xin lỗi shop vì lúc đầu k đọc kĩ. Sản phẩm rất đẹp với giá tiền nha mọi người",1,
109,109,Shop giao hàng cực nhanh luôn gói hàng cẩn thận nữa !! Chất lượng giày thì đẹp mà dây giày hơi dài thôi ạ ❤ Lần sau sẽ mua ủng hộ shop tiếp 😍,1,
110,110, Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. Chất lượng chờ time,1,
111,111,Giao hàng cực nhanh!!! ,1,
112,112,chuẩn như hình  ước gì có thêm box vans thì tốt,1,
113,113,"Trên hình toàn là chuột song vậy mà lúc giao lại ko phải. 
Đánh lừa thị giác. ",0,
114,114,Máy bị lỏng quá  mua 2 cái chán quá,0,
115,115, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh nhiệt tình.,1,
116,116,Sản phẩm ok lắm. Nằm thấy dễ chịu,1,
117,117, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn! Ngon nhé shop!,1,
118,118,Hợp đựng đồng hồ không giống như clip. Sao nó lại ra ten v shop ???,1,
119,119,Chất lượng giấy quá kém. Bìa thì bị chảy mực quá kém,0,
120,120,M đặt hai size 4 mà giao 1 size 4 một size 3 giờ cái k mặc được chả hiu có phải shop cứ đẩy hàng đi cho hết hay không nữa dù sp cũng tạm được  Shop phục vụ kém,0,
121,121,Đẹp mà rẻ. Thích dễ sợ ^^,1,
122,122,Giao hàng không đúng mẫu ,0,
123,123," Thời gian giao hàng rất nhanh
 Rất đáng tiền
Vải mặc bao êm luôn màu cũng giống hình nữa nếu có dịp sẽ ủng hộ tiếp ^^",1,
124,124," Chất lượng sản phẩm tuyệt vời. Order hôm trước hôm
Sau nhận hàng",1,
125,125,Shop gửi hàng nhanh dép đẹp. Rất hài lòng,1,
126,126,Dịch giả không có tâm hoặc quá kém dịch như Google Dịch.,0,
127,127,Đẹp hơn mong đợi. Có 6☆ thì cũng đánh giá luôn Rất đáng tiền,1,
128,128,Giá tốt sản phẩm chính hãng.,1,
129,129,Tôi copy hoặc move dữ liệu usb không được nhanh như tốc độ quảng cáo. Tôi đã thử nhiều loại file nhiều máy tính hệ điều hành (cả windows và Linux) nhưng đều chậm. Có lẽ tại usb.,0,
130,130,Gói hàng cực kì kĩ càng ngoài bọc xốp ra chủ shop còn bỏ thêm bọc nylong rồi mới bỏ vô hộp các tông. Son đẹp còn nguyên niêm phòng và không hề bị trầy. Ngoài ra còn được tặng thêm cột tóc siêu xinh nữa. Cực kì hài lòng. Chúc chủ shop mua may bán đắt. ,1,
131,131,Giày rất đẹp mềm dễ đi.  Đóng gói cẩn thận ,1,
132,132,Shop phục vụ kémNhân viên giao hàng ko cho kiểm tra máy,0,
133,133,nhận định ban đầu khá tốt sẽ trải nghiệm thêm,1,
134,134, Chất lượng sản phẩm rất kém kim giây  liên tục bị kẹtluôn trễ giờ rất không đáng tiền,0,
135,135,Son max đẹp đúng màu mk thích. Thanks shop😙,1,
136,136,Shop đăng bán mẫu mới nhưng lại gửi mẫu cũ ,1,
137,137,trông hàng mã quá tóm lại không nên dùng,0,
138,138,Áo mặc đẹp nhưng hơi ngắn xíu.,1,
139,139,Chất dsepj  giá hợp lý  ship nhanh chóng,1,
140,140, Chất lượng sản phẩm tuyệt vời. Truyện hay.  Rất đáng tiền. Có cái ship cao quá ,1,
141,141,"Mặt hơi to
",0,
142,142,Nhjn dep lam,1,
143,143,giây may sáu quá lôi may đường chỉ tê quá,0,
144,144,Giao hàng thiếu và k rep ib shop quá kém,0,
145,145,Mua hàng thì giao giày hư .trả hàng thì không thiện chí nhận lại .đăng lên shoppe thì không mua lại kêu tốn phí ship .vây tui mua bán lại mà giao giày như vậy bán cho ai . Đóng gói sản phẩm rất kém Shop phục vụ rất kém,0,
146,146,Hài lòng 3 đôi giày♡♡♡,1,
147,147,Ốp bị xước nhiều hơi cũ. Nhưng dù s sp đẹp 👍🏻 Rất đáng tiền,1,
148,148,"Cùng hãng LinkCard mà bộ kia mình mua mềm hơn bộ này vải cứng nóng. Muốn đổi trả thì shop vòng vo 1 ngày ko đưa ra giải pháp nói đấy là do khách cảm nhận cá nhân??!? 
 Ko trả đc thì nói thẳng chứ bạn :) Cách giải quyết khiếu nại làm mình hơi bị buồn và khó chịu :) Chất lượng sản phẩm kém",0,
149,149," Chất lượng sản phẩm rất kém.  Rất không đáng tiền. 
Kính không có keo toàn bộ mà chỉ có keo ở viền màu đen khiến màn hình trở nên lem nhem. Các bạn nên chọn loại khác nhé. ",0,
150,150,Sạc cho máy oppo 2 tiếng mới đk có 3%. Khi sạc hết pin mà sạc cả đêm cũng k đầy Chất lượng sản phẩm rất kém ,0,
151,151,Giá tốt,1,
152,152,Hài lòng.. giống hình,1,
153,153,Chất liệu sản phẩm là vải xô chứ ko phải cotton lót nỉ như trong giới thiệu. Không hài lòng về chất lượng,0,
154,154,Ăn ngon 😀😀😀,1,
155,155,Phục vụ tận tình giáo hàng nhanh đóng gói kĩ.,1,
156,156,Sản phẩm tốt mạnh nhưng còn chờ độ bềnh được bao lâu.,1,
157,157,M mua 2 chai đều bị cũ có phải hết date nên giá rẻ ko shop? Hàng tiêu dùng thì ghi HSD chứ có ghi NSX như đồ ăn đâu mà đáy chai ghi 2018.01.04 .  Đóng gói sản phẩm ok vì dán băng dính chống bung nắp.,0,
158,158,Ổn so vs mức giá,1,
159,159, Đóng gói sản phẩm rất đẹp và chắc chắn.  Chất lượng sản phẩm tuyệt vời. Cảm thấy hài lòng khi nhận sản phẩm. Nhận được hàng nhanh. Sẽ tiếp tục mua ủng hộ shop dài dài,1,
160,160, Chất lượng sản phẩm tuyệt vời. Dép rất  đẹp đóng gói cẩn thận. Sẽ ủng hộ  shop dài dài. ,1,
161,161,Giao hàng nhanh.đóng gói cẩn thận.hàng xài tốt,1,
162,162, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Giày êm. Siêu nhẹ. Chị chủ nc dễ thương 😄,1,
163,163,Mua xong về hối hận loa nghe nhỏ quá. Muốn đổi trả thì ntn vậy?,0,
164,164,camera nhìn như mắt cua,0,
165,165,"=)) Tưởng đâu nội dung nói về hành trình đến thành công của EXO  tâm sự tuổi hồng :D Hướng dẫn fan cần gì , .... đằng này toàn câu hỏi vớ vẩn :v những cái đấy fan lâu năm hầu như ai chả biết , chi bằng lên google đầy câu hỏi mà mau vui :)) thất vọng thật sự 
Dc cái card chibi khá xinh =))",0,
166,166,Dùng rất mát mềm da. Hiệu quả tức thì. Mình đặc biệt dùng gel này để chuốt lên lông mi và lông mày để làm dày và dài. Ngoài ra còn dùng để bôi lên vùng da bị khô nữa. Lần sau hết lại mua của shop tiếp :>,1,
167,167,Lên 4G cho oách,1,
168,168,Bình dùng rất thích cảm ơn shop 😊,1,
169,169,Mua hàng của shop rất uy tín,1,
170,170, Chất lượng sản phẩm tuyệt vời. Đẹp lắm shop ơi không chê vào đâu được  Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,1,
171,171, Chất lượng sản phẩm tuyệt vời nhưng toàn chữ Trung Quốc. ,0,
172,172,Hàng mua xong ăn rất dở so với mua bên ngoài( Circle K  hoặc các cửa hang khác) mọi người không nên mua.,0,
173,173,Hàng tốt ok lắm ,1,
174,174,"Giày đẹp và chất lượng ạ 
Sẽ ủng hộ lần sau",1,
175,175,son mềm thơm 💋💋 sẽ mua thêm hàng ở shopee sản phẩm chất lượng tốt ,1,
176,176,Rất đẹp và chất lượng ,1,
177,177,Tạm thôi bàn phím dán keo tệ quá tệ. Thằng nhóc ngồi gỡ 1 lúc ko còn phím nào. Nản thiệt chớ.,0,
178,178,Dùng rất tít. Mua về cho chồng chồng sướng quá hihi,1,
179,179,Giao hàng thần tốc giá rẻ.Hài lòng! ,1,
180,180,Kẹo chua hơnko giống loại mua ở st Thái Lan.,1,
181,181,Shop giao thiếu đồ mà nt shop k tl là sao,0,
182,182, sản phẩm ok. Giao hàng nhanh!!,1,
183,183,:)) Gọi điện dặn dò shop các kiểu con đà điểu. Kết quả shop cho 10 cái như một. Phản hồi lại thì bảo ngẫu nhiên. Lần trước đặt 2 cái 18. Thì gửi 1 cái 18 1 cái 15m. Nói chung là phục vụ kém thái độ không tốt,0,
184,184," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
Rat hai long",1,
185,185, Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Thankyou shop,1,
186,186,mình nhập Đúng tên và mật khẩu nhưng không vào được,0,
187,187, Đóng gói sản phẩm rất kémgiày bị móp méo hơi ố vàng ,0,
188,188,Chat luong ok. Đóng gói ok. Chỉ có đường chỉ chua chắc chắn lắm thoi. Nhug ok. 5*,1,
189,189,Nhìn giống hàng chơi e bé,0,
190,190, Chất lượng sản phẩm tuyệt vời.Đẹp lắm luôn❤❤❤❤,1,
191,191,"Sau khi cho kết nối Smart Tivi Android box smart phone iPad ...chất lượng sóng wifi yếu..thỉnh thoảng châp chờn.. (Thiết bị cách khoảng 3m cũng không nhận full sóng)Hiện nay Tôi đang sử dụng thiết bị cũ DLink DIR-605L 2angten phát sóng còn mạnh, ổn định hơn sản phẩm vừa mua TP-Link Archer C50  4angten.
Thiết bị phát wifi của nhà mạng Viettel và Dlink DIR-605L dù để xa thiết bị nhưng chất lượng sóng wifi vẫn tốt, không chập chờn.
Tôi không hài lòng chất lượng sản phẩm này.",0,
192,192,Được cái shop tư vấn tận tình,1,
193,193,Màu sắc dễ thương wa chừng 5cai 60k vải cũng đẹp nữa!,1,
194,194, Chất lượng sản phẩm tuyệt vời Rất đáng tiền . Ai mang size 36 thì nên đặt 35 là vừa.,1,
195,195,K giao hàng.,0,
196,196,sản phẩm chạy được 30 phút thì ngưng k chạy nữa kim nhấc k lên nổi. nói chung là chất lượng kém lắm,0,
197,197,sách dễ bị bong tróc phần bìa chất lượng giấy và mức hoàn thiện chưa tốt  phần keo cũng chưa tốt,0,
198,198,"Giao hàng hơi lâu nhưng dat 2 dôi mà chỉ giao 1 đôi
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời",1,
199,199,Y nhu keo 502.keo 39k ma phi giao hang 30k. Dan giay k an .tuc muon dien thiet chu,0,
200,200,mẫu đẹp y hình,1,
201,201,Tôi chả hiểu  ý tưởng xây hầm ngầm vượt sông Hồng để giải quyết ùn tắc là sao nữa .,1,
202,202,Dây bé tí dán k kỹ.,1,
203,203,Luc giao hang chang thay hop dau. Dua ch cai chai boc lop nhua la xog. Thay khong thich roi tinh tra hang ma ngi dang can nen de xai. Buc boi giong mua hang cho.,0,
204,204,Đóng hàng chắc chắn giáo hàng sieu nhah giá rẻ sp đc,1,
205,205,Xài rất thích đánh kem nền rất mịn đẹp.  Rất đáng tiền,1,
206,206,Mặt nạ đắp sướng lăm luôn ạ. Giao hàng siêu nhanh,1,
207,207,con ip chạy android đây sao. Đẹp mà ngon quá.,1,
208,208,Hàng ok. Đóng gói chắc chắn. Thời gian giao hàng nhanh. Nhân viên giao hàng nhiệt tình,1,
209,209,Sản phẩm giòn ngon giao hàng nhanh đóng gói cẩn thận sẽ tiếp tục ủng hộ Shop.,1,
210,210,Bạn ấy giao hàng kém chất lượng bị khách nói thì quay ra sỉa sói khách. Vãi cả bán 500 cái ốp mà có 1 mình mình chê hàng kém chất lượng. Coi như tiền vứt cho chó nó gặm,0,
211,211, Chất lượng sp phù hợp vs giá,0,
212,212,Giày hơi chật shop ạ,1,
213,213,Giá cả hợp lý sản phẩm tốt. Mềm viền lưng bụng cũng mềm nữa giao hàng nhanh,1,
214,214,Máy rung tốt các cấp độ đều sử dụng được. Shop giao hàng nhanh gói hàng kĩ càng. Hàng nhìn chất lượng 👌,1,
215,215,Chất lượng sản phẩm kém mình thấy son này không phải là son lì rất dễ trôi,0,
