,data,label
165, Chất lượng sản phẩm rất kém   ( không sạc nhanh )  không như tiêu đề chỉ 1 lần thôi dẹp nghĩ  Chất lượng sản phẩm rất kém,0
166, Chất lượng sản phẩm kém:đi đau chân. Tiền nào của ấy,0
167,Cơ bản là hộp đẹp khá ổn.,1
168,Rất ưng sản phẩm.chưa bao giờ review bất kì sản phẩm nào trên shopee nhưng lần này cửa hàng xứng đáng nhận được lời khen ngợi!,1
169,Phom ao khong đẹp,0
170,Đẹp  giá rẻ mình đặt về bạn bè thích nhờ đặt thêm. ,1
171, Đóng gói sản phẩm rất đẹp và chắc chắn. Chất lượng sản phẩm tuyệt vời. Shop phục vụ rất tốt. Rất đáng tiền. Thời gian giao hàng rất nhanh.💕,1
172, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Lần sau sẽ tiếp tục ủng hộ shop,1
173, Thời gian giao hàng rất nhanh rất đáng tiền ...Shop phục vụ rất tốt. Đóng gói sản phẩm rất đẹp và chắc chắn .Tóm Lại Chất lượng sản phẩm tuyệt vời,1
174, Chất lượng sản phẩm rất kém lúc mở hàng chẳng may làm rơi từ ghế xuống đất mẻ luôn 1 góc mà kiểu vô tình nên lực nhẹ hơn khi làm rơi dt ,0
175,Đúng 1 tuần k hơn k kém  Rất không đáng tiền,0
176,Bao bì trầy xước,1
177,Mình định mua Hạt điều rang muối về ăn hàng ngày để tốt cho sức khỏe nhưng khi nhận hàng thì hỡi ôi hạt điều quá mặn ăn hàng ngày thì bị thận nặng và huyết áp cao là chắc luôn hic hic :((,1
178,Tại sao vậy Tiki?Lượng khách hàng đã đủ nên không cần quan tâm tới chất lượng dịch vụ à?,0
179,Cũng khá là ổn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1
180," Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt 
",1
181,"Cần chú ý khâu đóng gói tránh hàng bị móp méo. 
Có thể chêm giấy carton vào để hạn chế lực tác động lúc vận chuyển",1
182,Dép đẹp y hình ,1
183,Chưa dùng nhưng thấy cũng OK,1
184,Ngon nhưng lần này làm khô quá ạ. Lần trc lm vừa ăn vẫn còn vị ngọt của gà . lần này giòn tan luôn bỏ ra ngoài 1 lúc vẫn giòn,1
185,Tắm không thấy trắng hơn dù chỉ là một ít,0
186, Chất lượng sản phẩm rất kém.giao hang size nay size kia thanh mot doi .,0
187,Shop gói hàng thật sự  thật sự rất chắc chắn   ng chăm sóc khách hàng rất dễ thương  sp i hình  giày rất đẹp nhưng e rất lười  chụp cho mọi ng  😂😂và đương nhiên là 5 sao r👍,1
188,Giày đẹp giống hình. Giao hàng nhanh.,1
189,Tư vấn thì nói giày form ôm đi tăng 1 size. Chân mình 255 mà đặt đôi 41 là 260 mà về rộng thừa chân cả 2cm. Giờ k lẽ dục đôi giày. Đổi thì không cho đổi. ,0
190, Không đáng tiền Chất lượng sản phẩm kém ,0
191,Sản phẩm kích sóng wifi rất ổn định,1
192,Giày xinh êm chân da mãnnn,1
193,Sản phẩm xài rất thích Chất lượng sản phẩm tuyệt vời,1
194, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Mỗi tội em bé không hợp tác 😂😂😂. ,1
195,"Đùa chứ mua đk 1 tuần thỳ 7 lần chết 
Thay pin r cũng k đk 
Quá chán",0
196,Mua ở Cỏ nhiều lần rồi k lần nào làm mình thất vọng ht.  Chất lượng sản phẩm tuyệt vời.  Rất đáng tiền.  Thời gian giao hàng rất nhanh.  Sẽ ủg hộ dài dài,1
197,Good ^^,1
198," Chất lượng sản phẩm tuyệt vời
Rất ấn tượng ve cách phục vụ cua shop",1
199, Chất lượng sản phẩm kém. Dây bị tróc miếng da. Mặt bị xước phía trong và mặt bên hong bị đen lổm bặt hạt gạo,0
200,Cảm ơn shop lần đầu tiên sản phẩm ol mà minh ưng ý đến vậy giá rẻ mà hàng rất chất lượng ạ.,1
201,Shop giao hàng nhanh đóng gói ok . có thể hàng bị móp là do bên vận chuyển chứ hk phải do bên shop . tư vấn nhiệt tình thanks shop.,1
202,"Nội dung sách thì xin không bình luận.
Mình không thích dịch vụ của Tiki do bao kiếng thì dính keo gáy trang sách bị quăng góc. Đây là lần thứ 2 bị điều này. Xin lỗi chắc không ủng hộ ở Tiki nữa.",0
203,Giao sp ko đúng mẫu nếu hết mẫu shop cũng nên phản hồi lại người mua để chọn mẫu khác,0
204,Mua dây sạc kèm kính cường lực nhưng shop giao thiếu kính cường lực,0
205,Ban qa nho mơi sư dug ma bi nưt rôi.,1
206,Ngonnnn lắmmmmm !!,1
207,Đẹp đáng giá tiền.sẽ ủng hộ shop ,1
208,Áo đẹp nhưng mà không đồng màu cỡ. Vì tôi có 2 bé sinh đôi. Muốn lấy 2 cái y nhau. Tôi đăng ký thế mà.,1
209,"Giao hàng hơi lâu.
Nhưng sản phẩm rất vừa mắt.
Hài lòng với sản phẩm.",1
210,Gói hàng đẹp hehe,1
211, Chất lượng sản phẩm rất kém rất không đáng tiền. Dao mẻ tùm lum,0
212,Chat với shop hỏi mua đèn kẹp và đế nhưng giao chỉ có thân đèn và đế không có kẹp. Đã vậy còn chuyển muộn. ,0
213, Chất lượng sản phẩm tuyệt vời thời gian giào hàng đúng giờ mình ở nhà  Đóng gói sản phẩm rất đẹp và chắc chắn,1
214,Đặt đơn hàng ngày 6.3.2018 tính luôn phí cồng kềnh là 883.000 có tặng kèm 1 bịch trị giá 210.000. nhưng khi giao thì chỉ giao 1 thùng 3 gói đại. ko tặng kèm theo bất cứ thứ gì. đề nghị tiki xem lại cách làm việc. trân trọng,0
215," Chất lượng sản phẩm tuyệt vời
Bộ dễ thương chất vải đẹp giá cả hợp lí 🤙🏻🤙🏻🤙🏻",1
216, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền nhưng sao không có phiếu bảo hành ạ,1
217,"Đúng vậy, con V470 Bluetooth cũng trâu không kém cạnh. Bên cạnh đó bấm chuột logitech rồi thì phải xài nó hoặc hãng cao hơn thôi. Genius, Mitsumi, Dell chắc chưa đến tuổi...",1
218,Không thấy case silicon tặng kèm.,1
219,Sản phẩm bị mất bọc ngoài có vết bóc mở  sticker không phải của TFBOYS. Nhưng poscard đầy đủ nên chp 2 sao,0
220,"Hà Nội ơi , để kỷ niệm đại lễ 1000 năm Thăng Long - Hà Nội , xin hãy làm một việc có ý nghĩa , hãy dành chút tiền để sửa sang vỉa hè xung quanh hồ Hoàn Kiếm với dự án là 40 tỷ đồng đó để xây dựng giúp Đắc Ang một , hai cây cầu đi nhé .",0
221, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh 💗💗💗,1
222,chưa test nhưng vẫn cảm ơn vì shop nhiệt tình,1
223,Ngon ngon ngon 😍😍😍😍,1
224,Tặng cái hột quet mà ko quẹt dc thì tặng làm j pig sac hoài ko lên nổi sạc lâu kinh,0
225,Đặt màu đen giao màu cam hàng như hàng cũ Chất lượng sản phẩm kém,0
226,Sp chắc chắn nhưng giao hàng chậm. ,1
227,Không giống như hình,0
228,Rat gion ngon. Vi dam đà.se ung ho tiep ,1
229, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn và rất dễ thương nx 😘😘 Shop phục vụ rất tốt,1
230,Ko thích.  Ko như mong đợi. ,0
231, Đóng gói sản phẩm kém.chất lượng tạm ổn. Shop phục vụ kém,0
232,San pham cung DC. Nhung lot song Minh Cam thay rat het mat Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,1
233,Đặt 7 plus shop gửi 6s plus dán lệch camera...,0
234,Giao hàng lâu quá.,1
235,Minh dat 20 cay shop giao 19 cay,1
236,Chất lắm😍,1
237,"Tôi thì lại thấy thật là tuyệt vời, tiền nào của đó, tất cả trong 1 mà lại còn đẹp nữa. đúng sở thích, sẽ mua.",1
238,Đóng gói sản phẩm đẹp  giao hàng nhanh đó là về hình thứcChất lượng thì nó giống như bánh bông lan bình thường có mấy cái bánh rất nhỏ và phải nói là rất dỡ k chê shop nhưng shop xem lại chất lượng bánh không ngon  y như mấy cái bánh mì ngọt mà sợ còn k ngon hơn bánh mì ngọt bình thường,0
239,Sp này nặng mùi giống băng vệ sinh diana của mẹ quá khác với mấy bịch mình đang dùng gần như k có mùi,0
240,Quá tuyệt vời lun. Shop vui vẻ nữa. 😆,1
241,gà ăn cứng như đá . tiền nào của nấy :)),0
242,Tưởng không đẹp ai ngờ đẹp không tưởnv luôn ạ ☺️☺️☺️,1
243,Dùng vài ngày cảm thấy ổn. Shop phục vụ tốt 5sao nhé <3,1
244,Rất đẹp lông mềm Rất đáng tiền,1
245,Xai tot tuy nhien may keu hoi to.san pham giong hinh,1
246,Màu trắng đẹp,1
247,Dong ho chua deo da bi bay mau..ra tiệm thi bi keu ngay đông hồ tàu..nước vào cả đống,0
248,Yeu ,1
249,Bìa sách màu khá đẹp & bắt mắt. Các hình vẽ bên trong đa dạng nhưng hơi nhỏ khiến cho phần tô màu của người dùng không được đẹp cho lắm. Giá cả hợp lý. Quyển sách giúp giảm stress và căng thẳng của công việc rất tốt. Sau những giờ mệt mỏi và áp lực của cuộc sống của công việc mình hay tô vẽ quyển sách để giảm đi sự mệt mỏi cho bản thân. Đây thực sự là một cuốn sách hay và nên mua cho các bạn trẻ và nhân viên văn phòng sinh viên học sinh.,0
250,"Thế hệ iPhone 7 rồi đến 7s cũng sẽ y kiểu này thôi, không đẹp bằng iPhone 6!",0
251,Chất lượng sản phẩm tuyệt vời. Rất đáng tiền. Rất dễ thương. 😍,1
252, Thời gian giao hàng rất nhanh. Vị rất ngon,1
